ShallowCapsNet, mnist
99.26	6.69	4.00	(6, 5, 4)	(8, 8, 8)	(8, 8)
99.34	5.53	5.33	(7, 6, 5)	(6, 6, 6)	(5, 4)
99.26	3.27	5.33	(11, 10, 9)	(6, 6, 6)	(4, 4)
90.97	8.45	4.00	(5, 4, 3)	(8, 8, 8)	(8, 8)
98.69	4.11	5.33	(9, 8, 7)	(6, 6, 6)	(4, 3)
99.50	3.27	4.57	(11, 10, 9)	(7, 7, 7)	(4, 4)
98.79	2.03	5.33	(17, 16, 15)	(6, 6, 6)	(3, 3)
99.54	4.11	4.57	(9, 8, 7)	(7, 7, 7)	(5, 4)
98.75	3.27	5.33	(11, 10, 9)	(6, 6, 6)	(3, 3)
99.31	6.69	4.57	(6, 5, 4)	(7, 7, 7)	(6, 4)
99.42	2.03	5.33	(17, 16, 15)	(6, 6, 6)	(5, 4)
99.53	2.03	4.57	(17, 16, 15)	(7, 7, 7)	(5, 4)
29.16	11.48	4.00	(4, 3, 2)	(8, 8, 8)	(8, 8)
98.71	5.53	5.33	(7, 6, 5)	(6, 6, 6)	(3, 3)
98.76	6.69	5.33	(6, 5, 4)	(6, 6, 6)	(4, 3)
99.54	5.53	4.00	(6, 6, 5)	(8, 8, 8)	(8, 8)
99.54	5.53	4.57	(7, 6, 5)	(7, 7, 7)	(5, 4)
99.08	6.69	4.00	(5, 5, 4)	(8, 8, 8)	(8, 8)
99.26	4.11	5.33	(9, 8, 7)	(6, 6, 6)	(4, 4)
ShallowCapsNet, fashion-mnist
92.44	2.03	3.56	(17, 16, 15)	(9, 9, 9)	(6, 6)
92.50	4.11	3.56	(9, 8, 7)	(9, 9, 9)	(7, 6)
84.21	6.69	2.91	(6, 5, 4)	(11, 11, 11)	(11, 11)
92.65	2.03	2.95	(17, 16, 15)	(11, 9, 9)	(7, 7)
21.45	11.48	2.91	(4, 3, 2)	(11, 11, 11)	(11, 11)
92.01	2.03	3.56	(17, 16, 15)	(9, 9, 8)	(7, 5)
92.59	4.11	1.88	(9, 8, 7)	(17, 17, 17)	(17, 17)
92.20	3.27	4.00	(11, 10, 9)	(8, 8, 8)	(6, 6)
92.46	5.33	2.91	(9, 6, 6)	(11, 11, 11)	(11, 11)
44.77	8.45	2.91	(5, 4, 3)	(11, 11, 11)	(11, 11)
91.98	4.11	4.00	(9, 8, 7)	(8, 8, 8)	(6, 6)
84.27	6.69	1.88	(6, 5, 4)	(17, 17, 17)	(17, 17)
21.73	11.48	1.88	(4, 3, 2)	(17, 17, 17)	(17, 17)
90.83	5.53	2.91	(7, 6, 5)	(11, 11, 11)	(11, 11)
92.36	5.33	2.91	(8, 6, 6)	(11, 11, 11)	(11, 11)
92.65	3.27	3.56	(11, 10, 9)	(9, 9, 9)	(8, 7)
92.64	5.32	1.88	(10, 6, 6)	(17, 17, 17)	(17, 17)
92.46	3.27	3.56	(11, 10, 9)	(9, 9, 9)	(6, 6)
90.81	5.53	1.88	(7, 6, 5)	(17, 17, 17)	(17, 17)
44.79	8.45	1.88	(5, 4, 3)	(17, 17, 17)	(17, 17)
DeepCaps, mnist
99.32	3.21	5.49	(13, 12, 11, 10, 9, 9)	(7, 6, 4, 4, 3, 3)	(6, 4)
7.39	16.17	3.20	(5, 4, 3, 2, 1, 1)	(10, 10, 10, 10, 10, 10)	(10, 10)
99.54	4.01	5.30	(11, 10, 9, 8, 7, 7)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.04	10.42	3.20	(5, 4, 3, 3, 3, 3)	(10, 10, 10, 10, 10, 10)	(10, 10)
99.53	6.43	5.30	(8, 7, 6, 5, 4, 4)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.53	8.04	5.30	(7, 6, 5, 4, 3, 3)	(7, 6, 5, 4, 4, 4)	(6, 5)
99.47	10.74	4.93	(6, 5, 4, 3, 2, 2)	(9, 5, 5, 5, 5, 5)	(4, 4)
99.26	6.43	5.49	(8, 7, 6, 5, 4, 4)	(7, 6, 4, 4, 3, 3)	(6, 4)
99.34	5.35	5.49	(9, 8, 7, 6, 5, 5)	(7, 6, 4, 4, 3, 3)	(6, 4)
99.67	3.21	4.93	(13, 12, 11, 10, 9, 9)	(9, 5, 5, 5, 5, 5)	(3, 3)
99.70	8.04	4.95	(7, 6, 5, 4, 3, 3)	(9, 5, 5, 5, 4, 4)	(5, 5)
99.52	3.21	5.30	(13, 12, 11, 10, 9, 9)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.41	4.01	5.49	(11, 10, 9, 8, 7, 7)	(7, 6, 4, 4, 3, 3)	(6, 4)
99.56	5.35	5.30	(9, 8, 7, 6, 5, 5)	(7, 6, 5, 4, 4, 4)	(4, 3)
7.76	16.17	2.91	(5, 4, 3, 2, 1, 1)	(11, 11, 11, 11, 11, 11)	(11, 11)
99.35	2.00	5.49	(19, 18, 17, 16, 15, 15)	(7, 6, 4, 4, 3, 3)	(6, 4)
7.54	16.17	2.67	(5, 4, 3, 2, 1, 1)	(12, 12, 12, 12, 12, 12)	(12, 12)
99.38	10.74	5.25	(6, 5, 4, 3, 2, 2)	(7, 6, 5, 5, 4, 4)	(6, 5)
99.51	8.04	5.30	(7, 6, 5, 4, 3, 3)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.69	6.43	4.95	(8, 7, 6, 5, 4, 4)	(9, 5, 5, 5, 4, 4)	(3, 3)
99.64	5.35	4.95	(9, 8, 7, 6, 5, 5)	(9, 5, 5, 5, 4, 4)	(3, 3)
99.67	2.00	4.95	(19, 18, 17, 16, 15, 15)	(9, 5, 5, 5, 4, 4)	(5, 5)
99.36	10.42	2.91	(5, 4, 3, 3, 3, 3)	(11, 11, 11, 11, 11, 11)	(11, 11)
99.65	4.01	4.93	(11, 10, 9, 8, 7, 7)	(9, 5, 5, 5, 5, 5)	(3, 3)
99.56	12.33	2.67	(6, 3, 3, 3, 2, 2)	(12, 12, 12, 12, 12, 12)	(12, 12)
99.57	10.74	3.34	(6, 5, 4, 3, 2, 2)	(10, 10, 9, 7, 7, 7)	(7, 6)
99.57	2.00	5.30	(19, 18, 17, 16, 15, 15)	(7, 6, 5, 4, 4, 4)	(4, 3)
DeepCaps, fashion-mnist
94.61	2.00	4.34	(19, 18, 17, 16, 15, 15)	(8, 7, 7, 7, 7, 7)	(4, 3)
95.04	8.00	2.00	(8, 4, 4, 4, 4, 4)	(16, 16, 16, 16, 16, 16)	(16, 16)
94.95	5.35	3.83	(9, 8, 7, 6, 5, 5)	(9, 8, 8, 8, 7, 7)	(4, 4)
94.28	3.21	4.39	(13, 12, 11, 10, 9, 9)	(8, 7, 7, 6, 6, 6)	(3, 3)
92.38	10.74	2.00	(6, 5, 4, 3, 2, 2)	(16, 16, 16, 16, 16, 16)	(16, 16)
94.78	5.35	4.28	(9, 8, 7, 6, 5, 5)	(9, 7, 6, 6, 6, 6)	(5, 4)
