ShallowCapsNet, mnist
98.94	6.69	7.83	(6, 5, 4)	(4, 5, 7)	(5, 4)
98.69	7.99	4.00	(6, 4, 4)	(8, 8, 8)	(8, 8)
99.50	2.03	6.29	(17, 16, 15)	(5, 6, 7)	(7, 4)
99.48	5.53	5.26	(7, 6, 5)	(6, 7, 7)	(5, 5)
99.41	3.27	6.40	(11, 10, 9)	(5, 5, 7)	(5, 4)
98.91	2.03	7.83	(17, 16, 15)	(4, 5, 6)	(5, 4)
99.07	3.27	7.83	(11, 10, 9)	(4, 5, 6)	(5, 4)
99.26	6.69	4.00	(6, 5, 4)	(8, 8, 8)	(8, 8)
99.19	2.03	7.83	(17, 16, 15)	(4, 5, 7)	(8, 4)
99.25	5.53	7.68	(7, 6, 5)	(4, 6, 7)	(5, 5)
99.49	4.11	6.29	(9, 8, 7)	(5, 6, 7)	(5, 4)
99.19	4.11	6.40	(9, 8, 7)	(5, 5, 7)	(5, 3)
98.94	5.53	7.83	(7, 6, 5)	(4, 5, 7)	(3, 4)
29.16	11.48	4.00	(4, 3, 2)	(8, 8, 8)	(8, 8)
99.21	6.69	5.33	(6, 5, 4)	(6, 6, 7)	(5, 4)
98.71	7.99	5.41	(6, 4, 4)	(6, 5, 6)	(8, 7)
98.90	4.11	6.40	(9, 8, 7)	(5, 5, 6)	(4, 3)
99.54	3.27	6.29	(11, 10, 9)	(5, 6, 7)	(7, 4)
90.97	8.45	4.00	(5, 4, 3)	(8, 8, 8)	(8, 8)
99.49	5.75	4.00	(7, 6, 4)	(8, 8, 8)	(8, 8)
ShallowCapsNet, fashion-mnist
91.91	2.03	6.19	(17, 16, 15)	(5, 7, 10)	(6, 5)
92.35	3.27	5.26	(11, 10, 9)	(6, 7, 11)	(9, 5)
92.67	4.57	5.18	(10, 7, 7)	(6, 8, 13)	(10, 6)
91.90	4.11	6.19	(9, 8, 7)	(5, 7, 9)	(6, 6)
92.67	3.27	4.98	(11, 10, 9)	(6, 11, 15)	(8, 7)
44.79	8.45	1.88	(5, 4, 3)	(17, 17, 17)	(17, 17)
92.61	4.57	1.88	(9, 7, 7)	(17, 17, 17)	(17, 17)
91.90	7.20	2.91	(8, 4, 6)	(11, 11, 11)	(11, 11)
84.21	6.69	2.91	(6, 5, 4)	(11, 11, 11)	(11, 11)
21.73	11.48	1.88	(4, 3, 2)	(17, 17, 17)	(17, 17)
92.36	5.33	2.91	(8, 6, 6)	(11, 11, 11)	(11, 11)
84.27	6.69	1.88	(6, 5, 4)	(17, 17, 17)	(17, 17)
91.91	7.20	2.91	(8, 4, 6)	(11, 11, 10)	(11, 9)
21.45	11.48	2.91	(4, 3, 2)	(11, 11, 11)	(11, 11)
44.77	8.45	2.91	(5, 4, 3)	(11, 11, 11)	(11, 11)
90.81	5.53	1.88	(7, 6, 5)	(17, 17, 17)	(17, 17)
92.37	4.11	4.47	(9, 8, 7)	(7, 9, 9)	(7, 6)
