DeepCaps, mnist
99.08	6.29	5.45	(5, 4, 4, 5, 6, 6)	(7, 5, 5, 8, 2, 3)	(2, 6)
99.29	7.46	3.13	(5, 4, 3, 3, 6, 6)	(11, 10, 11, 6, 5, 6)	(2, 3)
99.60	3.17	4.46	(10, 9, 9, 10, 11, 11)	(9, 5, 8, 8, 2, 4)	(2, 3)
99.49	5.25	5.50	(6, 5, 5, 6, 7, 7)	(8, 5, 4, 4, 2, 4)	(2, 3)
99.05	3.17	5.17	(10, 9, 9, 10, 11, 11)	(9, 5, 4, 4, 2, 3)	(2, 6)
99.57	4.51	5.12	(7, 6, 6, 7, 8, 8)	(9, 5, 4, 5, 2, 4)	(2, 3)
99.40	8.64	3.14	(5, 4, 3, 3, 6, 3)	(11, 11, 9, 6, 3, 6)	(2, 3)
99.54	2.12	5.12	(15, 14, 14, 15, 16, 16)	(9, 5, 4, 5, 2, 4)	(2, 3)
99.16	8.64	5.62	(5, 4, 3, 3, 6, 3)	(7, 5, 5, 5, 2, 3)	(2, 7)
99.51	2.12	5.17	(15, 14, 14, 15, 16, 16)	(9, 5, 4, 4, 2, 4)	(2, 3)
99.27	6.29	3.27	(5, 4, 4, 5, 6, 6)	(11, 11, 7, 5, 4, 5)	(2, 3)
98.79	11.20	5.56	(5, 4, 3, 3, 2, 3)	(7, 5, 5, 6, 2, 3)	(2, 6)
99.33	7.46	5.18	(5, 4, 3, 3, 6, 6)	(7, 5, 7, 7, 2, 3)	(2, 6)
99.62	2.12	3.92	(15, 14, 14, 15, 16, 16)	(9, 7, 10, 6, 2, 5)	(2, 3)
99.57	8.47	3.37	(6, 2, 3, 3, 7, 3)	(10, 10, 9, 5, 10, 5)	(5, 12)
99.60	3.17	5.02	(10, 9, 9, 10, 11, 11)	(9, 5, 5, 4, 2, 4)	(2, 3)
99.67	5.25	4.83	(6, 5, 5, 6, 7, 7)	(8, 5, 8, 5, 2, 4)	(2, 5)
99.54	5.25	5.44	(6, 5, 5, 6, 7, 7)	(8, 5, 4, 5, 2, 4)	(2, 3)
98.89	4.51	5.17	(7, 6, 6, 7, 8, 8)	(9, 5, 4, 4, 2, 3)	(2, 6)
99.56	7.03	3.82	(6, 2, 3, 3, 7, 7)	(10, 5, 11, 12, 5, 8)	(2, 5)
99.35	11.20	3.29	(5, 4, 3, 3, 2, 3)	(11, 10, 8, 7, 3, 6)	(2, 3)
99.58	4.51	3.83	(7, 6, 6, 7, 8, 8)	(12, 7, 5, 5, 7, 4)	(2, 5)
99.58	10.92	3.53	(6, 2, 3, 3, 3, 3)	(10, 9, 8, 8, 5, 5)	(2, 3)
DeepCaps, fashion-mnist
68.35	11.11	2.00	(4, 2, 2, 3, 3, 4)	(16, 16, 16, 16, 16, 16)	(16, 16)
94.64	9.81	3.52	(8, 3, 3, 4, 2, 4)	(11, 8, 8, 9, 3, 8)	(5, 4)
94.80	4.06	3.18	(9, 7, 7, 8, 8, 9)	(11, 12, 6, 6, 5, 7)	(4, 4)
94.89	7.79	2.59	(8, 4, 3, 4, 2, 8)	(14, 11, 12, 11, 14, 14)	(7, 12)
94.69	5.39	3.09	(8, 3, 3, 7, 7, 8)	(13, 8, 11, 6, 13, 6)	(4, 5)
94.69	6.28	3.45	(8, 3, 3, 4, 7, 8)	(11, 8, 9, 8, 6, 6)	(4, 4)
94.83	3.24	3.24	(11, 9, 9, 10, 10, 11)	(9, 13, 7, 6, 5, 7)	(4, 4)
95.00	2.02	3.62	(17, 15, 15, 16, 16, 17)	(11, 7, 8, 9, 10, 7)	(4, 5)
94.74	2.02	2.97	(17, 15, 15, 16, 16, 17)	(12, 13, 6, 6, 5, 6)	(3, 4)
94.23	6.09	4.17	(7, 3, 3, 6, 6, 7)	(9, 7, 7, 6, 6, 7)	(4, 4)
94.16	2.02	4.59	(17, 15, 15, 16, 16, 17)	(8, 7, 5, 7, 5, 6)	(3, 3)
94.90	6.19	2.52	(8, 4, 3, 4, 7, 8)	(15, 10, 14, 11, 14, 15)	(5, 7)
68.34	11.11	2.46	(4, 2, 2, 3, 3, 4)	(13, 13, 13, 13, 13, 13)	(13, 13)
94.37	4.06	4.18	(9, 7, 7, 8, 8, 9)	(8, 9, 5, 6, 5, 6)	(3, 4)
94.22	5.44	4.20	(7, 5, 5, 6, 6, 7)	(10, 7, 5, 6, 3, 6)	(5, 4)
94.91	4.06	3.09	(9, 7, 7, 8, 8, 9)	(9, 14, 6, 11, 6, 8)	(4, 4)
90.97	8.25	2.00	(5, 3, 3, 4, 4, 5)	(16, 16, 16, 16, 16, 16)	(16, 16)
