ShallowCapsNet, mnist
99.26	6.69	4.00	(6, 5, 4)	(8, 8, 8)	(8, 8)
8.92	17.91	4.00	(3, 2, 1)	(8, 8, 8)	(8, 8)
99.48	2.16	4.57	(16, 15, 14)	(7, 7, 7)	(4, 4)
90.97	8.45	4.00	(5, 4, 3)	(8, 8, 8)	(8, 8)
98.70	3.64	5.33	(10, 9, 8)	(6, 6, 6)	(3, 3)
99.41	2.16	5.33	(16, 15, 14)	(6, 6, 6)	(5, 4)
99.23	3.64	5.33	(10, 9, 8)	(6, 6, 6)	(4, 4)
98.75	2.16	5.33	(16, 15, 14)	(6, 6, 6)	(3, 3)
99.31	6.69	4.57	(6, 5, 4)	(7, 7, 7)	(6, 4)
99.55	4.72	4.57	(8, 7, 6)	(7, 7, 7)	(5, 4)
98.99	4.72	5.33	(8, 7, 6)	(6, 6, 6)	(3, 3)
29.16	11.48	4.00	(4, 3, 2)	(8, 8, 8)	(8, 8)
99.60	3.64	4.57	(10, 9, 8)	(7, 7, 7)	(5, 4)
98.76	6.69	5.33	(6, 5, 4)	(6, 6, 6)	(4, 3)
99.54	5.53	4.00	(6, 6, 5)	(8, 8, 8)	(8, 8)
99.24	4.72	5.33	(8, 7, 6)	(6, 6, 6)	(4, 4)
99.08	6.69	4.00	(5, 5, 4)	(8, 8, 8)	(8, 8)
ShallowCapsNet, fashion-mnist
92.27	4.72	2.91	(8, 7, 6)	(11, 11, 11)	(11, 11)
44.77	8.45	2.91	(5, 4, 3)	(11, 11, 11)	(11, 11)
92.08	4.72	3.56	(8, 7, 6)	(9, 9, 9)	(6, 6)
92.64	5.32	1.88	(10, 6, 6)	(17, 17, 17)	(17, 17)
92.33	4.72	1.88	(8, 7, 6)	(17, 17, 17)	(17, 17)
92.36	5.33	2.91	(8, 6, 6)	(11, 11, 11)	(11, 11)
92.13	2.16	4.00	(16, 15, 14)	(8, 8, 8)	(6, 6)
92.46	5.33	2.91	(9, 6, 6)	(11, 11, 11)	(11, 11)
21.73	11.48	1.88	(4, 3, 2)	(17, 17, 17)	(17, 17)
84.21	6.69	2.91	(6, 5, 4)	(11, 11, 11)	(11, 11)
21.45	11.48	2.91	(4, 3, 2)	(11, 11, 11)	(11, 11)
44.79	8.45	1.88	(5, 4, 3)	(17, 17, 17)	(17, 17)
7.49	17.91	2.91	(3, 2, 1)	(11, 11, 11)	(11, 11)
92.62	3.64	3.20	(10, 9, 8)	(10, 10, 9)	(7, 6)
7.58	17.91	1.88	(3, 2, 1)	(17, 17, 17)	(17, 17)
92.44	2.16	3.56	(16, 15, 14)	(9, 9, 9)	(6, 6)
92.38	3.64	4.00	(10, 9, 8)	(8, 8, 8)	(6, 6)
84.27	6.69	1.88	(6, 5, 4)	(17, 17, 17)	(17, 17)
92.48	3.64	3.56	(10, 9, 8)	(9, 9, 9)	(6, 6)
92.75	2.16	2.93	(16, 15, 14)	(11, 10, 9)	(10, 7)
DeepCaps, mnist
99.30	4.59	5.49	(10, 9, 8, 7, 6, 6)	(7, 6, 4, 4, 3, 3)	(6, 4)
7.39	16.17	3.20	(5, 4, 3, 2, 1, 1)	(10, 10, 10, 10, 10, 10)	(10, 10)
99.63	4.59	4.93	(10, 9, 8, 7, 6, 6)	(9, 5, 5, 5, 5, 5)	(3, 3)
99.04	10.42	3.20	(5, 4, 3, 3, 3, 3)	(10, 10, 10, 10, 10, 10)	(10, 10)
99.53	6.43	5.30	(8, 7, 6, 5, 4, 4)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.53	8.04	5.30	(7, 6, 5, 4, 3, 3)	(7, 6, 5, 4, 4, 4)	(6, 5)
99.47	10.74	4.93	(6, 5, 4, 3, 2, 2)	(9, 5, 5, 5, 5, 5)	(4, 4)
99.58	2.14	5.30	(18, 17, 16, 15, 14, 14)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.26	6.43	5.49	(8, 7, 6, 5, 4, 4)	(7, 6, 4, 4, 3, 3)	(6, 4)
99.70	8.04	4.95	(7, 6, 5, 4, 3, 3)	(9, 5, 5, 5, 4, 4)	(5, 5)
99.69	3.56	4.93	(12, 11, 10, 9, 8, 8)	(9, 5, 5, 5, 5, 5)	(3, 3)
99.38	10.74	5.25	(6, 5, 4, 3, 2, 2)	(7, 6, 5, 5, 4, 4)	(6, 5)
7.76	16.17	2.91	(5, 4, 3, 2, 1, 1)	(11, 11, 11, 11, 11, 11)	(11, 11)
7.54	16.17	2.67	(5, 4, 3, 2, 1, 1)	(12, 12, 12, 12, 12, 12)	(12, 12)
99.51	8.04	5.30	(7, 6, 5, 4, 3, 3)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.69	6.43	4.95	(8, 7, 6, 5, 4, 4)	(9, 5, 5, 5, 4, 4)	(3, 3)
99.61	4.59	5.30	(10, 9, 8, 7, 6, 6)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.36	10.42	2.91	(5, 4, 3, 3, 3, 3)	(11, 11, 11, 11, 11, 11)	(11, 11)
99.56	12.33	2.67	(6, 3, 3, 3, 2, 2)	(12, 12, 12, 12, 12, 12)	(12, 12)
99.54	3.56	5.47	(12, 11, 10, 9, 8, 8)	(7, 6, 4, 4, 4, 4)	(5, 3)
99.30	2.14	5.49	(18, 17, 16, 15, 14, 14)	(7, 6, 4, 4, 3, 3)	(6, 4)
99.57	10.74	3.34	(6, 5, 4, 3, 2, 2)	(10, 10, 9, 7, 7, 7)	(7, 6)
99.28	3.56	5.49	(12, 11, 10, 9, 8, 8)	(7, 6, 4, 4, 3, 3)	(6, 4)
99.66	2.14	4.94	(18, 17, 16, 15, 14, 14)	(9, 5, 5, 5, 5, 4)	(5, 5)
DeepCaps, fashion-mnist
95.04	8.00	2.00	(8, 4, 4, 4, 4, 4)	(16, 16, 16, 16, 16, 16)	(16, 16)
92.38	10.74	2.00	(6, 5, 4, 3, 2, 2)	(16, 16, 16, 16, 16, 16)	(16, 16)
