ShallowCapsNet, mnist
99.48	2.16	4.57	(16, 15, 14)	(7, 7, 7)	(4, 4)
98.70	3.64	5.33	(10, 9, 8)	(6, 6, 6)	(3, 3)
99.41	2.16	5.33	(16, 15, 14)	(6, 6, 6)	(5, 4)
99.23	3.64	5.33	(10, 9, 8)	(6, 6, 6)	(4, 4)
98.75	2.16	5.33	(16, 15, 14)	(6, 6, 6)	(3, 3)
99.31	6.69	4.57	(6, 5, 4)	(7, 7, 7)	(6, 4)
99.55	4.72	4.57	(8, 7, 6)	(7, 7, 7)	(5, 4)
98.99	4.72	5.33	(8, 7, 6)	(6, 6, 6)	(3, 3)
99.60	3.64	4.57	(10, 9, 8)	(7, 7, 7)	(5, 4)
98.76	6.69	5.33	(6, 5, 4)	(6, 6, 6)	(4, 3)
99.24	4.72	5.33	(8, 7, 6)	(6, 6, 6)	(4, 4)
ShallowCapsNet, fashion-mnist
92.08	4.72	3.56	(8, 7, 6)	(9, 9, 9)	(6, 6)
92.13	2.16	4.00	(16, 15, 14)	(8, 8, 8)	(6, 6)
92.62	3.64	3.20	(10, 9, 8)	(10, 10, 9)	(7, 6)
92.44	2.16	3.56	(16, 15, 14)	(9, 9, 9)	(6, 6)
92.38	3.64	4.00	(10, 9, 8)	(8, 8, 8)	(6, 6)
92.48	3.64	3.56	(10, 9, 8)	(9, 9, 9)	(6, 6)
92.75	2.16	2.93	(16, 15, 14)	(11, 10, 9)	(10, 7)
DeepCaps, mnist
99.30	4.59	5.49	(10, 9, 8, 7, 6, 6)	(7, 6, 4, 4, 3, 3)	(6, 4)
99.63	4.59	4.93	(10, 9, 8, 7, 6, 6)	(9, 5, 5, 5, 5, 5)	(3, 3)
99.53	6.43	5.30	(8, 7, 6, 5, 4, 4)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.53	8.04	5.30	(7, 6, 5, 4, 3, 3)	(7, 6, 5, 4, 4, 4)	(6, 5)
99.47	10.74	4.93	(6, 5, 4, 3, 2, 2)	(9, 5, 5, 5, 5, 5)	(4, 4)
99.58	2.14	5.30	(18, 17, 16, 15, 14, 14)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.26	6.43	5.49	(8, 7, 6, 5, 4, 4)	(7, 6, 4, 4, 3, 3)	(6, 4)
99.70	8.04	4.95	(7, 6, 5, 4, 3, 3)	(9, 5, 5, 5, 4, 4)	(5, 5)
99.69	3.56	4.93	(12, 11, 10, 9, 8, 8)	(9, 5, 5, 5, 5, 5)	(3, 3)
99.38	10.74	5.25	(6, 5, 4, 3, 2, 2)	(7, 6, 5, 5, 4, 4)	(6, 5)
99.51	8.04	5.30	(7, 6, 5, 4, 3, 3)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.69	6.43	4.95	(8, 7, 6, 5, 4, 4)	(9, 5, 5, 5, 4, 4)	(3, 3)
99.61	4.59	5.30	(10, 9, 8, 7, 6, 6)	(7, 6, 5, 4, 4, 4)	(4, 3)
99.54	3.56	5.47	(12, 11, 10, 9, 8, 8)	(7, 6, 4, 4, 4, 4)	(5, 3)
99.30	2.14	5.49	(18, 17, 16, 15, 14, 14)	(7, 6, 4, 4, 3, 3)	(6, 4)
99.57	10.74	3.34	(6, 5, 4, 3, 2, 2)	(10, 10, 9, 7, 7, 7)	(7, 6)
99.28	3.56	5.49	(12, 11, 10, 9, 8, 8)	(7, 6, 4, 4, 3, 3)	(6, 4)
99.66	2.14	4.94	(18, 17, 16, 15, 14, 14)	(9, 5, 5, 5, 5, 4)	(5, 5)
